term_type,term_group,term,surprisal,surprisal_type,frequency
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.473755063950534,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.300803026680942,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4753283432173125,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.470970956927033,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.457874278976376,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.470737890192569,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4766100882804905,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.462892322162438,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.461716984294942,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.449853986543546,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475756942136912,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46399237694288,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.468028415398713,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.460887997882086,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.457674040529666,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.478730228864084,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.464393897776964,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.474749340449753,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.47476638802872,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.462756455652194,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475340956785238,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.472371348225039,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.474782222435773,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.445046746620088,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4644119648286456,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.437161266351008,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.454561703182993,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.45689818257199,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.434274707575683,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.435745764136685,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.471225790975307,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.470630826205673,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4688361019263345,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.477943218949946,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4756050900505775,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475620718978203,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.456571743179158,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475698067234449,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.453267373864483,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.446327525144847,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46173363809428,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.421836991186803,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.46477114138438,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.4544709682379695,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.475971675369738,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.468985914945331,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.476534291660751,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.466778355039674,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.464987644280513,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.390785548373056,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.458150511888025,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.472791490859634,semantic,136
legal,顯有|顯然有|顯然屬於|顯然是,顯有,6.466163428843217,semantic,136
