term_type,term_group,term,surprisal,surprisal_type,frequency
usual,candida albicans|thrush,thrush,3.015465768911362,semantic,9
usual,candida albicans|thrush,thrush,2.9967296960698757,semantic,9
usual,candida albicans|thrush,thrush,2.7448243383635544,semantic,9
usual,candida albicans|thrush,thrush,2.7949630391508147,semantic,9
usual,candida albicans|thrush,thrush,3.032716192280749,semantic,9
usual,candida albicans|thrush,thrush,2.8370461427055664,semantic,9
bio,febrile|feverish,febrile,-0.3250990539907444,semantic,118
bio,febrile|feverish,febrile,-0.3447845546193527,semantic,118
bio,febrile|feverish,febrile,-0.3887580722253844,semantic,118
bio,febrile|feverish,febrile,-0.2081542320818441,semantic,118
bio,febrile|feverish,febrile,-0.2107166337314953,semantic,118
bio,febrile|feverish,febrile,-0.394735106682542,semantic,118
bio,febrile|feverish,febrile,-0.2212602945746187,semantic,118
bio,febrile|feverish,febrile,-0.277781401821955,semantic,118
bio,febrile|feverish,febrile,-0.193390846880607,semantic,118
bio,febrile|feverish,febrile,-0.5017444921305004,semantic,118
bio,febrile|feverish,febrile,-0.0530239111242364,semantic,118
bio,febrile|feverish,febrile,-0.2842893815946272,semantic,118
bio,febrile|feverish,febrile,-0.1422118973930889,semantic,118
bio,febrile|feverish,febrile,0.1136377337129798,semantic,118
bio,febrile|feverish,febrile,-0.3378922150644033,semantic,118
bio,febrile|feverish,febrile,-0.4965614125608384,semantic,118
bio,febrile|feverish,febrile,-0.3524781180732895,semantic,118
bio,febrile|feverish,febrile,-0.2947956728930782,semantic,118
bio,febrile|feverish,febrile,-0.3767554377454383,semantic,118
bio,febrile|feverish,febrile,-0.1392172934175375,semantic,118
bio,febrile|feverish,febrile,-0.1337282757682388,semantic,118
bio,febrile|feverish,febrile,-0.137081468372864,semantic,118
bio,febrile|feverish,febrile,-0.2945030702253209,semantic,118
bio,febrile|feverish,febrile,-0.0571019551074308,semantic,118
bio,febrile|feverish,febrile,-0.3321763232634483,semantic,118
bio,febrile|feverish,febrile,-0.220168884517373,semantic,118
bio,febrile|feverish,febrile,-0.0679516177146729,semantic,118
bio,febrile|feverish,febrile,-0.2674420295652499,semantic,118
bio,febrile|feverish,febrile,-0.2458787361749682,semantic,118
bio,febrile|feverish,febrile,-0.3154817780752814,semantic,118
bio,febrile|feverish,febrile,-0.3491511389783782,semantic,118
bio,febrile|feverish,febrile,-0.3261426889120439,semantic,118
bio,febrile|feverish,febrile,-0.2490618842624266,semantic,118
bio,febrile|feverish,febrile,-0.2090778100874581,semantic,118
bio,febrile|feverish,febrile,-0.3151905772857946,semantic,118
bio,febrile|feverish,febrile,-0.19527272990869,semantic,118
bio,febrile|feverish,febrile,-0.2895062094349163,semantic,118
bio,febrile|feverish,febrile,-0.3993022609338826,semantic,118
bio,febrile|feverish,febrile,-0.3550686707588855,semantic,118
bio,febrile|feverish,febrile,-0.0679516177146729,semantic,118
bio,febrile|feverish,febrile,-0.2577156951095096,semantic,118
bio,febrile|feverish,febrile,-0.3124830891851097,semantic,118
bio,febrile|feverish,febrile,-0.3312037858946367,semantic,118
bio,febrile|feverish,febrile,-0.2866351352340096,semantic,118
bio,febrile|feverish,febrile,-0.448859720055845,semantic,118
bio,febrile|feverish,febrile,-0.2522381401962698,semantic,118
bio,febrile|feverish,febrile,-0.3912765528241718,semantic,118
bio,febrile|feverish,febrile,-0.2909637068507852,semantic,118
bio,febrile|feverish,febrile,-0.2557346379054883,semantic,118
bio,febrile|feverish,febrile,-0.2095677637944988,semantic,118
bio,febrile|feverish,febrile,0.0278196337765774,semantic,118
bio,febrile|feverish,febrile,-0.3564241554027322,semantic,118
bio,febrile|feverish,febrile,-0.3922274579303745,semantic,118
bio,febrile|feverish,febrile,-0.1281213824210049,semantic,118
bio,febrile|feverish,febrile,-0.4639344828122141,semantic,118
bio,febrile|feverish,febrile,-0.3236666241444378,semantic,118
bio,febrile|feverish,febrile,-0.1485643824691317,semantic,118
bio,febrile|feverish,febrile,-0.3535020854731113,semantic,118
bio,febrile|feverish,febrile,-0.1863472028696308,semantic,118
bio,febrile|feverish,febrile,-0.286763130445788,semantic,118
bio,febrile|feverish,febrile,-0.2525813933689722,semantic,118
bio,febrile|feverish,febrile,-0.0318144009601273,semantic,118
bio,febrile|feverish,febrile,-0.2912411022108189,semantic,118
bio,febrile|feverish,febrile,-0.3082518896043088,semantic,118
bio,febrile|feverish,febrile,-0.1128030225412883,semantic,118
bio,febrile|feverish,febrile,-0.3679327935163511,semantic,118
bio,febrile|feverish,febrile,-0.2237455866311354,semantic,118
bio,febrile|feverish,febrile,-0.2751065188212123,semantic,118
bio,febrile|feverish,febrile,-0.4078081974935129,semantic,118
bio,febrile|feverish,febrile,-0.2634274634982317,semantic,118
bio,febrile|feverish,febrile,-0.3739236499665495,semantic,118
bio,febrile|feverish,febrile,-0.3850328993250251,semantic,118
bio,febrile|feverish,febrile,-0.3876120835588512,semantic,118
